key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889,3889
num_edges,24223,23127,22009,20884,19882,18873,17866,16941,16070,15285,14482,5517
num_ops,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298
num_read,476,476,476,476,476,476,476,476,476,476,476,476
num_writes,822,822,822,822,822,822,822,822,822,822,822,822
num_time_edges,18706,17610,16492,15367,14365,13356,12366,11442,10573,9789,8986,0
num_races,703864,703864,703864,703864,703864,703864,703864,703864,703864,703864,703864,703864
num_harmful,0,1096,2214,3339,4341,5350,6340,7264,8133,8917,9720,18706
num_commute,685158,685158,685158,685158,685158,685158,685158,685158,685158,685158,685158,685158
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,18706,17610,16492,15367,14365,13356,12366,11442,10573,9789,8986,0
num_pkts,77,77,77,77,77,77,77,77,77,77,77,77
num_per_pkt_races,0,16,22,28,37,42,42,43,44,44,46,72
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,16,22,28,37,42,42,43,44,44,46,72
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,449,449,449,449,449,449,449,449,449,449,449,449
num_racing_versions,0,75,80,93,86,124,85,96,140,95,165,265
