rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,3889,24223,1298,476,822,18706,703864,0,685158,0,18706,77,0,0,0,0,0,449,0
1,1,False,False,3889,23127,1298,476,822,17610,703864,1096,685158,0,17610,77,16,0,0,16,0,449,75
2,2,False,False,3889,22009,1298,476,822,16492,703864,2214,685158,0,16492,77,22,0,0,22,0,449,80
3,3,False,False,3889,20884,1298,476,822,15367,703864,3339,685158,0,15367,77,28,0,0,28,0,449,93
4,4,False,False,3889,19882,1298,476,822,14365,703864,4341,685158,0,14365,77,37,0,0,37,0,449,86
5,5,False,False,3889,18873,1298,476,822,13356,703864,5350,685158,0,13356,77,42,0,0,42,0,449,124
6,6,False,False,3889,17866,1298,476,822,12366,703864,6340,685158,0,12366,77,42,0,0,42,0,449,85
7,7,False,False,3889,16941,1298,476,822,11442,703864,7264,685158,0,11442,77,43,0,0,43,0,449,96
8,8,False,False,3889,16070,1298,476,822,10573,703864,8133,685158,0,10573,77,44,0,0,44,0,449,140
9,9,False,False,3889,15285,1298,476,822,9789,703864,8917,685158,0,9789,77,44,0,0,44,0,449,95
10,10,False,False,3889,14482,1298,476,822,8986,703864,9720,685158,0,8986,77,46,0,0,46,0,449,165
inf,inf,False,False,3889,5517,1298,476,822,0,703864,18706,685158,0,0,77,72,0,0,72,0,449,265
