key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_read,66,66,66,66,66,66,66,66,66,66,66,66
num_writes,16,16,16,16,16,16,16,16,16,16,16,16
num_ops,82,82,82,82,82,82,82,82,82,82,82,82
num_time_edges,145,132,121,107,102,81,72,69,55,55,44,0
num_races,532,532,532,532,532,532,532,532,532,532,532,532
num_harmful,0,13,24,36,41,60,65,66,74,74,81,97
num_commute,387,387,387,387,387,387,387,387,387,387,387,387
num_covered,0,0,0,2,2,4,8,10,16,16,20,48
num_time_filtered_races,145,132,121,107,102,81,72,69,55,55,44,0
num_per_pkt_races,0,6,11,13,15,19,21,22,26,26,27,33
num_per_pkt_inconsistent,0,3,5,8,9,17,19,19,23,23,25,31
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,3,6,5,6,2,2,3,3,3,2,2
num_per_pkt_inconsistent_no_repeat,0,3,5,8,8,13,12,12,12,12,12,12
num_versions,18,18,18,18,18,18,18,18,18,18,18,18
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
