key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,314,314,314,314,314,314,314,314,314,314,314,314
num_edges,563,545,533,515,512,498,490,478,468,451,440,358
num_ops,77,77,77,77,77,77,77,77,77,77,77,77
num_read,70,70,70,70,70,70,70,70,70,70,70,70
num_writes,7,7,7,7,7,7,7,7,7,7,7,7
num_time_edges,271,247,227,205,202,186,174,155,144,120,105,0
num_races,494,494,494,494,494,494,494,494,494,494,494,494
num_harmful,0,24,44,63,63,69,81,99,105,124,136,207
num_commute,223,223,223,223,223,223,223,223,223,223,223,223
num_covered,0,0,0,3,6,16,16,17,22,27,30,64
num_time_filtered_races,271,247,227,205,202,186,174,155,144,120,105,0
num_pkts,70,70,70,70,70,70,70,70,70,70,70,70
num_per_pkt_races,0,10,18,22,22,24,28,35,36,43,47,70
num_per_pkt_inconsistent,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_covered,0,0,0,3,6,16,16,17,22,27,30,64
num_per_pkt_entry_version_race,0,10,18,19,16,8,12,18,14,16,17,6
num_per_pkt_inconsistent_no_repeat,0,0,0,0,0,0,0,0,0,0,0,0
num_versions,5,5,5,5,5,5,5,5,5,5,5,5
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
