rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.214897,0.157522,0.026039,0.008290,0.000377,0.012321,0.010076,0.000215,-0.000005
0,0,True,True,0.206643,0.157249,0.024528,0.006927,0.000256,0.011346,0.006114,0.000175,-0.000005
1,1,False,True,0.218284,0.159969,0.026454,0.008352,0.000271,0.011640,0.011009,0.000533,-0.000007
1,1,True,True,0.209447,0.157148,0.024738,0.007146,0.000274,0.011292,0.007867,0.000921,-0.000016
2,2,False,True,0.213787,0.158357,0.023987,0.007455,0.000278,0.012366,0.010532,0.000754,-0.000007
2,2,True,True,0.203545,0.152963,0.023809,0.006334,0.000266,0.011417,0.007715,0.000985,-0.000010
3,3,False,True,0.215229,0.159568,0.024876,0.007374,0.000276,0.011854,0.010284,0.000933,-0.000007
3,3,True,True,0.210774,0.158836,0.024944,0.006300,0.000285,0.011881,0.007069,0.001403,-0.000011
4,4,False,True,0.215969,0.158623,0.024667,0.007404,0.000253,0.012800,0.011103,0.001059,-0.000008
4,4,True,True,0.203622,0.153982,0.023087,0.005982,0.000253,0.011801,0.007201,0.001267,-0.000011
5,5,False,True,0.214270,0.158769,0.024344,0.006635,0.000265,0.011500,0.011498,0.001196,-0.000010
5,5,True,True,0.203431,0.152795,0.023442,0.006004,0.000263,0.011658,0.007644,0.001572,-0.000012
6,6,False,True,0.217789,0.161016,0.023875,0.005941,0.000236,0.011990,0.012795,0.001875,-0.000010
6,6,True,True,0.206426,0.155338,0.023270,0.005400,0.000234,0.011414,0.008644,0.002069,-0.000013
7,7,False,True,0.217106,0.156825,0.024061,0.006022,0.000263,0.014536,0.013322,0.002013,-0.000011
7,7,True,True,0.205982,0.153281,0.023655,0.005393,0.000250,0.012158,0.008867,0.002316,-0.000014
8,8,False,True,0.215638,0.162110,0.022084,0.005399,0.000247,0.011372,0.012141,0.002203,-0.000012
8,8,True,True,0.213478,0.161345,0.023261,0.005702,0.000271,0.011963,0.008543,0.002330,-0.000014
9,9,False,True,0.216893,0.160709,0.021733,0.005555,0.000535,0.011979,0.014199,0.002115,-0.000013
9,9,True,True,0.211194,0.158190,0.023719,0.005097,0.000251,0.012032,0.009332,0.002508,-0.000015
10,10,False,True,0.251646,0.185578,0.028660,0.006915,0.000310,0.012066,0.015875,0.002180,-0.000011
10,10,True,True,0.212379,0.160431,0.023283,0.004881,0.000264,0.011842,0.009109,0.002503,-0.000015
inf,inf,False,True,0.219979,0.158850,0.023522,0.006205,0.000245,0.010892,0.016062,0.004103,-0.000042
inf,inf,True,True,0.221310,0.163480,0.022333,0.004803,0.000238,0.011477,0.014255,0.004615,-0.000059
