key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
num_writes,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
num_ops,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
num_rw_time_edges,467,430,399,351,314,263,206,177,126,83,45,0,481,444,413,355,316,263,206,177,126,83,45,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,16,15,15,3,0,0,0,0,0,0,0,0
num_time_edges,467,430,399,351,314,263,206,177,126,83,45,0,497,459,428,358,316,263,206,177,126,83,45,0
num_harmful,0,37,68,116,153,204,261,290,341,384,422,467,0,38,69,139,181,234,291,320,371,414,452,497
num_commute,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381,3381
num_races,3381,3418,3449,3497,3534,3585,3642,3671,3722,3765,3803,3848,3381,3419,3450,3520,3562,3615,3672,3701,3752,3795,3833,3878
num_covered,0,0,3,10,34,58,87,99,126,152,174,219,0,0,3,6,10,11,13,14,18,21,21,21
num_per_pkt_races,0,32,57,90,103,124,149,165,189,205,218,218,0,32,57,94,107,128,153,169,193,209,222,222
num_per_pkt_inconsistent,0,5,11,21,25,32,37,39,43,47,50,50,0,5,11,31,50,76,95,104,122,142,162,192
num_per_pkt_inconsistent_covered,0,0,3,10,27,45,61,69,87,106,123,153,0,0,3,6,10,11,13,14,18,21,21,21
num_per_pkt_race_version,0,27,43,59,51,47,51,57,59,52,45,15,0,27,43,57,47,41,45,51,53,46,39,9
num_per_pkt_inconsistent_no_repeat,0,2,3,6,9,10,10,10,10,10,10,7,0,2,3,12,19,21,21,21,21,21,21,18
