key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,880,880,880,880,880,880,880,880,880,880,880,880
num_edges,1235,1212,1185,1165,1126,1103,1089,1078,1054,1047,1041,957
num_ops,225,225,225,225,225,225,225,225,225,225,225,225
num_read,181,181,181,181,181,181,181,181,181,181,181,181
num_writes,44,44,44,44,44,44,44,44,44,44,44,44
num_time_edges,278,255,228,208,169,146,132,121,97,90,84,0
num_races,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059,4059
num_harmful,0,23,50,70,109,132,146,157,181,188,194,278
num_commute,3781,3781,3781,3781,3781,3781,3781,3781,3781,3781,3781,3781
num_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_time_filtered_races,278,255,228,208,169,146,132,121,97,90,84,0
num_pkts,76,76,76,76,76,76,76,76,76,76,76,76
num_per_pkt_races,0,9,19,27,45,54,60,64,74,76,76,76
num_per_pkt_inconsistent,0,6,15,23,40,50,58,61,71,74,74,74
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,3,4,4,5,4,2,3,3,2,2,2
num_per_pkt_inconsistent_no_repeat,0,4,6,6,6,6,6,6,6,7,8,6
num_versions,11,11,11,11,11,11,11,11,11,11,11,11
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
