rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,106,132,20,16,4,28,61,0,33,0,28,16,0,0,0,0,0,12,0
1,1,False,True,106,132,20,16,4,26,61,2,33,0,26,16,2,0,0,2,0,12,0
2,2,False,True,106,131,20,16,4,21,61,7,33,0,21,16,7,0,0,7,0,12,0
3,3,False,True,106,131,20,16,4,20,61,8,33,0,20,16,8,0,0,8,0,12,0
4,4,False,True,106,131,20,16,4,19,61,9,33,0,19,16,9,0,0,9,0,12,0
5,5,False,True,106,131,20,16,4,17,61,11,33,0,17,16,11,0,0,11,0,12,0
6,6,False,True,106,131,20,16,4,16,61,12,33,0,16,16,12,0,0,12,0,12,0
7,7,False,True,106,131,20,16,4,16,61,12,33,0,16,16,12,0,0,12,0,12,0
8,8,False,True,106,131,20,16,4,14,61,14,33,0,14,16,14,0,0,14,0,12,0
9,9,False,True,106,131,20,16,4,14,61,14,33,0,14,16,14,0,0,14,0,12,0
10,10,False,True,106,131,20,16,4,14,61,14,33,0,14,16,14,0,0,14,0,12,0
inf,inf,False,True,106,117,20,16,4,0,61,16,33,12,0,16,15,0,12,3,0,12,0
